signal_date,entry_date,exit_date,basket,top1,top2,top1_score,top2_score,margin,top1_weight,top2_weight
2026-05-29,2026-06-01,2026-07-01,113,EWZ,IGV,0.912751677852349,0.8791946308724832,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,114,USL,TUR,0.9932885906040269,0.8993288590604027,0.09395973154362414,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,115,BNO,USO,1.0,0.9731543624161074,0.02684563758389258,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,116,GSG,EZA,0.9865771812080537,0.9798657718120806,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,117,USO,UNG,0.9731543624161074,0.959731543624161,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,118,USL,GSG,0.9932885906040269,0.9865771812080537,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,119,BNO,USL,1.0,0.9932885906040269,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,120,GSG,EZA,0.9865771812080537,0.9798657718120806,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,121,UNG,PALL,0.959731543624161,0.9194630872483222,0.04026845637583887,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,122,DBO,HACK,0.9664429530201343,0.9530201342281879,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,123,DBO,TUR,0.9664429530201343,0.8993288590604027,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,124,USL,UNG,0.9932885906040269,0.959731543624161,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,125,BNO,GSG,1.0,0.9865771812080537,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,126,USL,GSG,0.9932885906040269,0.9865771812080537,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,127,EWY,URA,0.8926174496644296,0.8523489932885906,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,128,EZA,USO,0.9798657718120806,0.9731543624161074,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,129,BNO,PPLT,1.0,0.9395973154362416,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,130,USO,GDX,0.9731543624161074,0.9261744966442953,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,131,USO,DBO,0.9731543624161074,0.9664429530201343,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,132,DBO,XLE,0.9664429530201343,0.9060402684563759,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,133,DBO,TAN,0.9664429530201343,0.8859060402684564,0.08053691275167785,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,134,BNO,EZA,1.0,0.9798657718120806,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,135,EZA,EWZ,0.9798657718120806,0.912751677852349,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,136,COMT,PALL,0.9328859060402684,0.9194630872483222,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,137,EZA,DBO,0.9798657718120806,0.9664429530201343,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,138,UNG,HACK,0.959731543624161,0.9530201342281879,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,139,USL,GSG,0.9932885906040269,0.9865771812080537,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,140,PALL,XLE,0.9194630872483222,0.9060402684563759,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,141,COMT,PALL,0.9328859060402684,0.9194630872483222,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,142,GDXJ,PPLT,0.9463087248322147,0.9395973154362416,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,143,EZA,PPLT,0.9798657718120806,0.9395973154362416,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,144,GSG,USO,0.9865771812080537,0.9731543624161074,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,145,USL,DBO,0.9932885906040269,0.9664429530201343,0.02684563758389258,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,146,BNO,USL,1.0,0.9932885906040269,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,147,TUR,TAN,0.8993288590604027,0.8859060402684564,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,148,GDX,TAN,0.9261744966442953,0.8859060402684564,0.04026845637583887,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,149,EZA,PPLT,0.9798657718120806,0.9395973154362416,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,150,USL,GSG,0.9932885906040269,0.9865771812080537,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,151,BNO,GSG,1.0,0.9865771812080537,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,152,GDXJ,TUR,0.9463087248322147,0.8993288590604027,0.04697986577181201,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,153,DBO,HACK,0.9664429530201343,0.9530201342281879,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,154,HACK,PALL,0.9530201342281879,0.9194630872483222,0.03355704697986572,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,155,COMT,EWY,0.9328859060402684,0.8926174496644296,0.04026845637583887,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,156,USL,EZA,0.9932885906040269,0.9798657718120806,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,157,USL,IGV,0.9932885906040269,0.8791946308724832,0.11409395973154368,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,158,UNG,HACK,0.959731543624161,0.9530201342281879,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,159,UNG,HACK,0.959731543624161,0.9530201342281879,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,160,USL,GDXJ,0.9932885906040269,0.9463087248322147,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,161,GDXJ,IGV,0.9463087248322147,0.8791946308724832,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,162,USL,HACK,0.9932885906040269,0.9530201342281879,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,163,BNO,DBO,1.0,0.9664429530201343,0.03355704697986572,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,164,GSG,PPLT,0.9865771812080537,0.9395973154362416,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,165,BNO,GSG,1.0,0.9865771812080537,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,166,USL,USO,0.9932885906040269,0.9731543624161074,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,167,HACK,EWY,0.9530201342281879,0.8926174496644296,0.0604026845637583,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,168,GSG,DBO,0.9865771812080537,0.9664429530201343,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,169,PALL,URA,0.9194630872483222,0.8523489932885906,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,170,USL,GDXJ,0.9932885906040269,0.9463087248322147,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,171,XLE,TUR,0.9060402684563759,0.8993288590604027,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,172,USL,TUR,0.9932885906040269,0.8993288590604027,0.09395973154362414,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,173,USO,EWY,0.9731543624161074,0.8926174496644296,0.08053691275167785,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,174,HACK,DBC,0.9530201342281879,0.825503355704698,0.12751677852348986,1.0,0.0
2026-05-29,2026-06-01,2026-07-01,175,GDXJ,PPLT,0.9463087248322147,0.9395973154362416,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,176,GDXJ,COMT,0.9463087248322147,0.9328859060402684,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,177,USL,TUR,0.9932885906040269,0.8993288590604027,0.09395973154362414,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,178,SOXX,MTUM,0.87248322147651,0.8590604026845637,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,179,BNO,PPLT,1.0,0.9395973154362416,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,180,DBO,XLE,0.9664429530201343,0.9060402684563759,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,181,GSG,EZA,0.9865771812080537,0.9798657718120806,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,182,EZA,USO,0.9798657718120806,0.9731543624161074,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,183,EZA,UNG,0.9798657718120806,0.959731543624161,0.020134228187919545,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,184,USO,UNG,0.9731543624161074,0.959731543624161,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,185,EZA,USO,0.9798657718120806,0.9731543624161074,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,186,PPLT,COMT,0.9395973154362416,0.9328859060402684,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,187,GSG,GDXJ,0.9865771812080537,0.9463087248322147,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,188,EZA,COMT,0.9798657718120806,0.9328859060402684,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,189,EZA,HACK,0.9798657718120806,0.9530201342281879,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,190,PALL,TUR,0.9194630872483222,0.8993288590604027,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,191,GSG,EZA,0.9865771812080537,0.9798657718120806,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,192,PPLT,IGV,0.9395973154362416,0.8791946308724832,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,193,USL,UNG,0.9932885906040269,0.959731543624161,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,194,BNO,USL,1.0,0.9932885906040269,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,195,COMT,EWY,0.9328859060402684,0.8926174496644296,0.04026845637583887,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,196,UNG,EWY,0.959731543624161,0.8926174496644296,0.06711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,197,BNO,USO,1.0,0.9731543624161074,0.02684563758389258,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,198,EZA,GDX,0.9798657718120806,0.9261744966442953,0.05369127516778527,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,199,EZA,DBO,0.9798657718120806,0.9664429530201343,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,200,GDXJ,IGV,0.9463087248322147,0.8791946308724832,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,201,UNG,TAN,0.959731543624161,0.8859060402684564,0.07382550335570459,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,202,BNO,XLE,1.0,0.9060402684563759,0.09395973154362414,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,203,GSG,UNG,0.9865771812080537,0.959731543624161,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,204,UNG,HACK,0.959731543624161,0.9530201342281879,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,205,DBO,HACK,0.9664429530201343,0.9530201342281879,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,206,GDXJ,PPLT,0.9463087248322147,0.9395973154362416,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,207,USL,USO,0.9932885906040269,0.9731543624161074,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,208,USO,GDXJ,0.9731543624161074,0.9463087248322147,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,209,USO,DBO,0.9731543624161074,0.9664429530201343,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,210,USO,GDX,0.9731543624161074,0.9261744966442953,0.046979865771812124,0.75,0.25
